candidate_id,rank,score,reasoning
CAND_0002025,11,0.8241,"Senior AI Engineer at Apple, 5.9 yrs total; covers 2/4 must-have areas via FAISS, Weaviate, OpenSearch; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; in Trivandrum, Kerala, not relocating. Concerns: behavioral=0.77 [resp=0.80 dem=0.54 avail=1.00 close=0.65 trust=0.90]."
CAND_0062247,12,0.8184,"AI Engineer at Google, 7.3 yrs total; covers 3/4 must-have areas via Vector Search, BM25, RAG; open to relocating within India. Concerns: behavioral=0.72 [resp=0.78 dem=0.49 avail=0.93 close=0.72 trust=0.61]."
CAND_0037566,13,0.8052,"Machine Learning Engineer at LinkedIn, 6.9 yrs total; covers 2/4 must-have areas via Elasticsearch, Pinecone, MLflow; some eval-framework language in profile; high verified assessment scores; based in Bangalore, Karnataka. Concerns: behavioral=0.66 [resp=0.46 dem=0.49 avail=0.77 close=0.76 trust=0.95]."
CAND_0052328,14,0.8042,"Recommendation Systems Engineer at Amazon, 6.5 yrs total; covers 2/4 must-have areas via Vector Search, Learning to Rank, OpenSearch; some eval-framework language in profile; based in Pune, Maharashtra. Concerns: behavioral=0.69 [resp=0.79 dem=0.56 avail=0.70 close=0.77 trust=0.57]."
CAND_0008425,15,0.7984,"Senior NLP Engineer at Ola, 7.8 yrs total; covers 3/4 must-have areas via Information Retrieval, Semantic Search, Recommendation Systems; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; in Kolkata, West Bengal, not relocating. Concerns: behavioral=0.79 [resp=0.71 dem=0.97 avail=0.93 close=0.61 trust=0.76], notice 90d (×0.80 penalty)."
CAND_0079387,16,0.7955,"AI Engineer at Microsoft, 6.9 yrs total; covers 2/4 must-have areas via Vector Search, OpenSearch, Recommendation Systems; some eval-framework language in profile; in Trivandrum, Kerala, not relocating. Concerns: behavioral=0.75 [resp=0.81 dem=0.48 avail=0.81 close=0.72 trust=0.95]."
CAND_0088025,17,0.7897,"Staff Machine Learning Engineer at Yellow.ai, 8.6 yrs total; covers 3/4 must-have areas via RAG, Elasticsearch, BM25; some eval-framework language in profile; high verified assessment scores; in Jaipur, Rajasthan, not relocating. Concerns: behavioral=0.82 [resp=0.83 dem=0.58 avail=1.00 close=0.89 trust=0.78], notice 90d (×0.80 penalty)."
CAND_0091909,18,0.7888,"Machine Learning Engineer at Rephrase.ai, 6.9 yrs total; covers 3/4 must-have areas via Pinecone, OpenSearch, Learning to Rank; some eval-framework language in profile; high verified assessment scores; based in Bangalore, Karnataka. Concerns: behavioral=0.63 [resp=0.65 dem=0.68 avail=0.62 close=0.52 trust=0.69]."
CAND_0045250,19,0.7761,"Applied ML Engineer at Rephrase.ai, 6.6 yrs total; covers 3/4 must-have areas via Vector Search, Qdrant, MLflow; some eval-framework language in profile; based in Delhi, Delhi. Concerns: behavioral=0.71 [resp=0.74 dem=0.68 avail=0.67 close=0.66 trust=0.79]."
CAND_0064326,20,0.7729,"Search Engineer at Sarvam AI, 7.6 yrs total; covers 2/4 must-have areas via Weaviate, RAG, Semantic Search; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; based in Gurgaon, Haryana. Concerns: behavioral=0.83 [resp=0.94 dem=0.78 avail=1.00 close=0.72 trust=0.60]."
CAND_0075249,21,0.7706,"Applied ML Engineer at Zomato, 6.2 yrs total; covers 3/4 must-have areas via Pinecone, BM25, Milvus; some eval-framework language in profile; in Ahmedabad, Gujarat, not relocating. Concerns: behavioral=0.68 [resp=0.82 dem=0.41 avail=0.93 close=0.54 trust=0.69]."
CAND_0007009,22,0.7658,"Recommendation Systems Engineer at Wysa, 7.9 yrs total; covers 3/4 must-have areas via Embeddings, BM25, OpenSearch; some eval-framework language in profile; stable tenure (~3.3y avg); based in Noida, Uttar Pradesh. Concerns: behavioral=0.62 [resp=0.62 dem=0.25 avail=0.82 close=0.70 trust=0.76]."
CAND_0055992,23,0.7576,"AI Engineer at CRED, 16.9 yrs total (6.7 yrs ML-relevant); covers 3/4 must-have areas via OpenSearch, Embeddings, Milvus; some eval-framework language in profile; frequent short stints (~1.8y avg); abroad but open to relocating. Concerns: behavioral=0.77 [resp=0.66 dem=0.88 avail=0.72 close=0.83 trust=0.79]."
CAND_0055905,24,0.7522,"Senior Machine Learning Engineer at Flipkart, 8.1 yrs total; covers 2/4 must-have areas via OpenSearch, Embeddings, Elasticsearch; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; stable tenure (~3.4y avg); abroad and not relocating (no visa sponsorship). Concerns: behavioral=0.78 [resp=0.93 dem=0.38 avail=0.98 close=0.79 trust=0.76]."
CAND_0077337,25,0.7454,"Staff Machine Learning Engineer at Paytm, 7.0 yrs total; covers 3/4 must-have areas via RAG, Information Retrieval, Qdrant; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; frequent short stints (~1.8y avg); open to relocating within India. Concerns: behavioral=0.80 [resp=0.95 dem=0.49 avail=0.98 close=0.75 trust=0.81]."
CAND_0052682,26,0.7412,"NLP Engineer at Aganitha, 6.6 yrs total; covers 2/4 must-have areas via Embeddings, FAISS, Semantic Search; some eval-framework language in profile; in Vizag, Andhra Pradesh, not relocating. Concerns: behavioral=0.81 [resp=0.88 dem=0.59 avail=0.82 close=0.87 trust=0.92]."
CAND_0065878,27,0.7409,"Senior Data Scientist at Niramai, 7.8 yrs total; covers 4/4 must-have areas via Vector Search, Recommendation Systems, MLflow; some eval-framework language in profile; in Trivandrum, Kerala, not relocating. Concerns: behavioral=0.62 [resp=0.48 dem=0.39 avail=0.82 close=0.56 trust=0.95]."
CAND_0098846,28,0.7377,"AI Engineer at upGrad, 7.6 yrs total; covers 2/4 must-have areas via Qdrant, Recommendation Systems, TensorFlow; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.70 [resp=0.66 dem=0.38 avail=0.93 close=0.67 trust=0.95]."
CAND_0093193,29,0.7358,"Senior Machine Learning Engineer at Niramai, 7.9 yrs total; covers 3/4 must-have areas via OpenSearch, Qdrant, Information Retrieval Systems; based in Bangalore, Karnataka. Concerns: behavioral=0.77 [resp=0.65 dem=0.64 avail=0.93 close=0.72 trust=0.96]."
CAND_0068351,30,0.7351,"Lead AI Engineer at Sarvam AI, 6.4 yrs total; covers 3/4 must-have areas via Qdrant, Elasticsearch, Information Retrieval Systems; some eval-framework language in profile; based in Delhi, Delhi. Concerns: behavioral=0.76 [resp=0.86 dem=0.90 avail=0.47 close=0.75 trust=0.82]."
CAND_0046525,31,0.7349,"Senior Machine Learning Engineer at Genpact AI, 6.1 yrs total; covers 2/4 must-have areas via Elasticsearch, Information Retrieval, Qdrant; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; based in Pune, Maharashtra. Concerns: behavioral=0.80 [resp=0.94 dem=0.64 avail=0.94 close=0.66 trust=0.80]."
CAND_0080766,32,0.7281,"Staff Machine Learning Engineer at Salesforce, 8.8 yrs total; covers 3/4 must-have areas via OpenSearch, Elasticsearch, MLflow; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; frequent short stints (~1.9y avg); open to relocating within India. Concerns: behavioral=0.75 [resp=0.66 dem=0.75 avail=0.67 close=0.77 trust=0.96]."
CAND_0041610,33,0.7262,"Recommendation Systems Engineer at Zoho, 6.7 yrs total; covers 3/4 must-have areas via OpenSearch, Elasticsearch, Embeddings; some eval-framework language in profile; frequent short stints (~1.3y avg); open to relocating within India. Concerns: behavioral=0.70 [resp=0.60 dem=0.38 avail=1.00 close=0.80 trust=0.75]."
CAND_0058688,34,0.7249,"AI Engineer at Vedantu, 6.7 yrs total; covers 2/4 must-have areas via Information Retrieval, Embeddings, Milvus; some eval-framework language in profile; abroad but open to relocating. Concerns: behavioral=0.77 [resp=0.79 dem=0.58 avail=0.82 close=0.84 trust=0.83]."
CAND_0039383,35,0.7246,"Applied ML Engineer at Meesho, 7.1 yrs total; covers 3/4 must-have areas via Elasticsearch, Vector Search, FAISS; some eval-framework language in profile; based in Gurgaon, Haryana. Concerns: behavioral=0.74 [resp=0.56 dem=0.69 avail=0.82 close=0.88 trust=0.79], notice 90d (×0.80 penalty)."
CAND_0040117,36,0.7159,"Recommendation Systems Engineer at PhonePe, 6.5 yrs total; covers 2/4 must-have areas via FAISS, BM25, RAG; some eval-framework language in profile; in Vizag, Andhra Pradesh, not relocating. Concerns: behavioral=0.66 [resp=0.71 dem=0.47 avail=0.76 close=0.62 trust=0.76]."
CAND_0093912,37,0.7115,"Senior Data Scientist at Razorpay, 5.3 yrs total; covers 3/4 must-have areas via Vector Search, Elasticsearch, Recommendation Systems; in Chandigarh, Chandigarh, not relocating. Concerns: behavioral=0.81 [resp=0.66 dem=0.95 avail=0.80 close=0.75 trust=0.93]."
CAND_0017960,38,0.6970,"Recommendation Systems Engineer at Nykaa, 7.7 yrs total; covers 2/4 must-have areas via Information Retrieval, Qdrant, QLoRA; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; based in Bangalore, Karnataka. Concerns: behavioral=0.71 [resp=0.72 dem=0.66 avail=0.85 close=0.64 trust=0.69]."
CAND_0068811,39,0.6944,"Applied ML Engineer at Freshworks, 8.0 yrs total; covers 2/4 must-have areas via Qdrant, Pinecone, OpenSearch; some eval-framework language in profile; based in Pune, Maharashtra. Concerns: behavioral=0.58 [resp=0.42 dem=0.17 avail=0.92 close=0.75 trust=0.69]."
CAND_0006567,40,0.6737,"Senior AI Engineer at Meta, 7.9 yrs total; covers 2/4 must-have areas via Recommendation Systems, Ranking Systems, BM25; some eval-framework language in profile; high verified assessment scores; based in Noida, Uttar Pradesh. Concerns: behavioral=0.81 [resp=0.79 dem=0.89 avail=0.73 close=0.87 trust=0.77]."
CAND_0010770,41,0.6711,"Recommendation Systems Engineer at Aganitha, 15.2 yrs total (7.2 yrs ML-relevant); covers 2/4 must-have areas via Qdrant, BM25, Learning to Rank; some eval-framework language in profile; frequent short stints (~1.1y avg); open to relocating within India. Concerns: behavioral=0.69 [resp=0.73 dem=0.36 avail=0.93 close=0.83 trust=0.55]."
CAND_0098217,42,0.6688,"ML Engineer at Glance, 6.4 yrs total; covers 3/4 must-have areas via Pinecone, MLflow, Learning to Rank; based in Noida, Uttar Pradesh. Concerns: behavioral=0.78 [resp=0.90 dem=0.63 avail=0.82 close=0.75 trust=0.79]."
CAND_0011432,43,0.6629,"Senior Data Scientist at Amazon, 7.6 yrs total; covers 2/4 must-have areas via Elasticsearch, MLflow, OpenSearch; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; in Chennai, Tamil Nadu, not relocating. Concerns: behavioral=0.71 [resp=0.62 dem=0.42 avail=0.82 close=0.83 trust=0.92]."
CAND_0076251,44,0.6591,"Search Engineer at Haptik, 7.6 yrs total; covers 3/4 must-have areas via Semantic Search, Elasticsearch, Weaviate; open to relocating within India. Concerns: behavioral=0.63 [resp=0.51 dem=0.58 avail=0.87 close=0.60 trust=0.62]."
CAND_0087630,45,0.6584,"AI Engineer at Vedantu, 7.2 yrs total; covers 3/4 must-have areas via OpenSearch, BM25, Learning to Rank; some eval-framework language in profile; based in Gurgaon, Haryana. Concerns: behavioral=0.65 [resp=0.48 dem=0.86 avail=0.56 close=0.78 trust=0.63]."
CAND_0069905,46,0.6566,"Applied ML Engineer at Sarvam AI, 6.6 yrs total; covers 2/4 must-have areas via Weaviate, Learning to Rank, Recommendation Systems; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.77 [resp=0.72 dem=0.66 avail=0.93 close=0.75 trust=0.80], notice 90d (×0.80 penalty)."
CAND_0060054,47,0.6561,"AI Engineer at Mad Street Den, 6.4 yrs total; covers 3/4 must-have areas via FAISS, Recommendation Systems, Semantic Search; some eval-framework language in profile; high verified assessment scores; open to relocating within India. Concerns: behavioral=0.63 [resp=0.79 dem=0.49 avail=0.42 close=0.65 trust=0.82]."
CAND_0000031,48,0.6549,"Recommendation Systems Engineer at Swiggy, 6.0 yrs total; covers 3/4 must-have areas via Embeddings, FAISS, MLflow; some eval-framework language in profile; frequent short stints (~1.6y avg); based in Hyderabad, Telangana. Concerns: behavioral=0.66 [resp=0.84 dem=0.46 avail=0.84 close=0.50 trust=0.61]."
CAND_0091534,49,0.6528,"AI Engineer at Flipkart, 16.6 yrs total (7.1 yrs ML-relevant); covers 2/4 must-have areas via RAG, Qdrant, scikit-learn; some eval-framework language in profile; based in Gurgaon, Haryana. Concerns: behavioral=0.73 [resp=0.77 dem=0.86 avail=0.67 close=0.60 trust=0.77]."
CAND_0052335,50,0.6527,"Applied ML Engineer at Aganitha, 6.4 yrs total; covers 2/4 must-have areas via Learning to Rank, Semantic Search, PyTorch; some eval-framework language in profile; abroad but open to relocating. Concerns: behavioral=0.75 [resp=0.79 dem=0.51 avail=0.93 close=0.67 trust=0.86]."
CAND_0042100,51,0.6519,"Machine Learning Engineer at Freshworks, 7.3 yrs total; covers 3/4 must-have areas via Semantic Search, Pinecone, Learning to Rank; some eval-framework language in profile; abroad but open to relocating. Concerns: behavioral=0.71 [resp=0.87 dem=0.33 avail=0.82 close=0.59 trust=0.98], notice 90d (×0.80 penalty)."
CAND_0064888,52,0.6464,"ML Engineer at Verloop.io, 5.8 yrs total; covers 4/4 must-have areas via MLflow, Embeddings, Elasticsearch; open to relocating within India. Concerns: behavioral=0.80 [resp=1.00 dem=0.65 avail=1.00 close=0.40 trust=0.93]."
CAND_0072660,53,0.6454,"Machine Learning Engineer at Unacademy, 7.1 yrs total; covers 2/4 must-have areas via Information Retrieval, FAISS, OpenSearch; abroad and not relocating (no visa sponsorship). Concerns: behavioral=0.68 [resp=0.49 dem=0.58 avail=0.94 close=0.71 trust=0.72]."
CAND_0010257,54,0.6368,"Senior Data Scientist at Google, 6.5 yrs total; covers 3/4 must-have areas via Recommendation Systems, OpenSearch, Milvus; some eval-framework language in profile; based in Noida, Uttar Pradesh. Concerns: behavioral=0.82 [resp=0.72 dem=0.79 avail=1.00 close=0.84 trust=0.77], notice 120d (×0.72 penalty)."
CAND_0074735,55,0.6365,"Applied ML Engineer at Rephrase.ai, 5.5 yrs total; covers 3/4 must-have areas via Information Retrieval, Weaviate, Semantic Search; some eval-framework language in profile; in Chandigarh, Chandigarh, not relocating. Concerns: behavioral=0.77 [resp=0.82 dem=0.49 avail=0.82 close=0.79 trust=0.96], notice 90d (×0.80 penalty)."
CAND_0049896,56,0.6243,"Search Engineer at Unacademy, 7.3 yrs total; covers 2/4 must-have areas via Information Retrieval, Vector Search, PyTorch; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.73 [resp=0.40 dem=0.91 avail=0.80 close=0.78 trust=0.91], notice 90d (×0.80 penalty)."
CAND_0042029,57,0.6215,"Senior Data Scientist at Flipkart, 6.5 yrs total; covers 3/4 must-have areas via Embeddings, Elasticsearch, Learning to Rank; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; based in Delhi, Delhi. Concerns: behavioral=0.61 [resp=0.67 dem=0.29 avail=0.61 close=0.78 trust=0.74]."
CAND_0028793,58,0.6204,"Search Engineer at Google, 7.2 yrs total; covers 2/4 must-have areas via Learning to Rank, Embeddings, Information Retrieval; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; high verified assessment scores; open to relocating within India. Concerns: behavioral=0.78 [resp=0.57 dem=0.81 avail=0.93 close=0.72 trust=0.98], notice 120d (×0.72 penalty)."
CAND_0095528,59,0.6202,"Senior Data Scientist at Netflix, 5.3 yrs total; covers 2/4 must-have areas via Elasticsearch, Qdrant, Semantic Search; some eval-framework language in profile; in Indore, Madhya Pradesh, not relocating. Concerns: behavioral=0.66 [resp=0.51 dem=0.51 avail=0.93 close=0.68 trust=0.73]."
CAND_0076163,60,0.6174,"NLP Engineer at Ola, 6.9 yrs total; covers 2/4 must-have areas via OpenSearch, Elasticsearch, BM25; in Chandigarh, Chandigarh, not relocating. Concerns: behavioral=0.79 [resp=0.77 dem=0.78 avail=0.90 close=0.61 trust=0.94]."
CAND_0053591,61,0.6131,"AI Engineer at Ola, 5.3 yrs total; covers 2/4 must-have areas via OpenSearch, BM25, Qdrant; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; abroad and not relocating (no visa sponsorship). Concerns: behavioral=0.76 [resp=0.75 dem=0.61 avail=0.92 close=0.81 trust=0.69]."
CAND_0044855,62,0.6128,"Senior Data Scientist at Flipkart, 6.6 yrs total; covers 3/4 must-have areas via Qdrant, Pinecone, Embeddings; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.70 [resp=0.66 dem=0.82 avail=0.53 close=0.72 trust=0.81]."
CAND_0007411,63,0.6098,"Senior Machine Learning Engineer at Amazon, 8.0 yrs total; covers 3/4 must-have areas via Pinecone, Information Retrieval, Vector Search; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; open to relocating within India. Concerns: behavioral=0.43 [resp=0.10 dem=0.33 avail=0.40 close=0.73 trust=0.77]; low response rate 0.12, inactive 169d."
CAND_0072688,64,0.6097,"Data Scientist at Niramai, 6.9 yrs total; covers 3/4 must-have areas via Semantic Search, Recommendation Systems, Qdrant; based in Pune, Maharashtra. Concerns: behavioral=0.83 [resp=1.00 dem=0.57 avail=1.00 close=0.59 trust=0.98]."
CAND_0081852,65,0.6096,"Senior Data Scientist at Mad Street Den, 5.9 yrs total; covers 2/4 must-have areas via Vector Search, Milvus, Weaviate; some eval-framework language in profile; based in Delhi, Delhi. Concerns: behavioral=0.64 [resp=0.40 dem=0.47 avail=1.00 close=0.61 trust=0.83]."
CAND_0031593,66,0.6095,"Search Engineer at Genpact AI, 7.8 yrs total; covers 3/4 must-have areas via Embeddings, Elasticsearch, BM25; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.70 [resp=0.62 dem=0.56 avail=0.82 close=0.81 trust=0.73], notice 90d (×0.80 penalty)."
CAND_0033861,67,0.6049,"Senior NLP Engineer at Mad Street Den, 8.0 yrs total; covers 2/4 must-have areas via Milvus, Elasticsearch, Qdrant; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; in Vizag, Andhra Pradesh, not relocating. Concerns: behavioral=0.50 [resp=0.13 dem=0.32 avail=0.56 close=0.83 trust=0.83]; low response rate 0.16."
CAND_0009691,68,0.5983,"Applied ML Engineer at LinkedIn, 6.2 yrs total; covers 3/4 must-have areas via Qdrant, FAISS, Pinecone; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.67 [resp=0.59 dem=0.41 avail=0.94 close=0.54 trust=0.97], notice 120d (×0.72 penalty)."
CAND_0025640,69,0.5956,"AI Research Engineer at HCL, 5.6 yrs total; covers 3/4 must-have areas via Elasticsearch, Recommendation Systems, OpenSearch; in Jaipur, Rajasthan, not relocating. Concerns: behavioral=0.75 [resp=0.80 dem=0.61 avail=0.93 close=0.80 trust=0.55]."
CAND_0096142,70,0.5940,"Applied ML Engineer at upGrad, 5.0 yrs total; covers 2/4 must-have areas via RAG, Weaviate, BM25; some eval-framework language in profile; high verified assessment scores; based in Hyderabad, Telangana. Concerns: behavioral=0.75 [resp=0.90 dem=0.47 avail=1.00 close=0.67 trust=0.67], notice 120d (×0.72 penalty)."
CAND_0032216,71,0.5912,"ML Engineer at upGrad, 6.1 yrs total; covers 3/4 must-have areas via Information Retrieval, Vector Search, Learning to Rank; open to relocating within India. Concerns: behavioral=0.63 [resp=0.32 dem=0.65 avail=0.93 close=0.57 trust=0.82]."
CAND_0086151,72,0.5882,"Recommendation Systems Engineer at Wysa, 7.7 yrs total; covers 3/4 must-have areas via Elasticsearch, BM25, Embeddings; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.68 [resp=0.48 dem=0.85 avail=0.82 close=0.49 trust=0.87], notice 120d (×0.72 penalty)."
CAND_0061265,73,0.5881,"Recommendation Systems Engineer at Zoho, 6.6 yrs total; covers 3/4 must-have areas via Milvus, Vector Search, Learning to Rank; high verified assessment scores; based in Delhi, Delhi. Concerns: behavioral=0.68 [resp=1.00 dem=0.53 avail=0.62 close=0.54 trust=0.63], notice 120d (×0.72 penalty)."
CAND_0093331,74,0.5867,"NLP Engineer at Genpact AI, 16.1 yrs total (7.2 yrs ML-relevant); covers 2/4 must-have areas via BM25, Milvus, Embeddings; open to relocating within India. Concerns: behavioral=0.66 [resp=0.38 dem=0.66 avail=0.67 close=0.94 trust=0.73]."
CAND_0018722,75,0.5846,"Recommendation Systems Engineer at Saarthi.ai, 6.6 yrs total; covers 2/4 must-have areas via Weaviate, Recommendation Systems, TensorFlow; some eval-framework language in profile; abroad but open to relocating. Concerns: behavioral=0.78 [resp=0.91 dem=0.55 avail=0.87 close=0.77 trust=0.80], notice 90d (×0.80 penalty)."
CAND_0027801,76,0.5815,"NLP Engineer at InMobi, 7.4 yrs total; covers 2/4 must-have areas via Vector Search, Learning to Rank, OpenSearch; some eval-framework language in profile; based in Hyderabad, Telangana. Concerns: behavioral=0.78 [resp=0.65 dem=0.85 avail=0.93 close=0.63 trust=0.87], notice 120d (×0.72 penalty)."
CAND_0094759,77,0.5815,"Lead AI Engineer at Meta, 8.6 yrs total; covers 3/4 must-have areas via Weaviate, Semantic Search, FAISS; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; based in Mumbai, Maharashtra. Concerns: behavioral=0.43 [resp=0.09 dem=0.20 avail=0.40 close=0.84 trust=0.78]; low response rate 0.11, inactive 132d."
CAND_0015528,78,0.5811,"Applied ML Engineer at Krutrim, 7.4 yrs total; covers 2/4 must-have areas via Information Retrieval, OpenSearch, FAISS; some eval-framework language in profile; in Coimbatore, Tamil Nadu, not relocating. Concerns: behavioral=0.60 [resp=0.49 dem=0.46 avail=0.67 close=0.63 trust=0.84]."
CAND_0070398,79,0.5800,"Machine Learning Engineer at Genpact AI, 7.2 yrs total; covers 3/4 must-have areas via FAISS, Information Retrieval, RAG; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.61 [resp=0.55 dem=0.24 avail=0.93 close=0.64 trust=0.73], notice 120d (×0.72 penalty)."
CAND_0005649,80,0.5740,"Senior Data Scientist at Sarvam AI, 7.4 yrs total; covers 3/4 must-have areas via Information Retrieval, RAG, Weaviate; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; frequent short stints (~1.9y avg); based in Delhi, Delhi. Concerns: behavioral=0.64 [resp=0.52 dem=0.42 avail=0.83 close=0.85 trust=0.62], notice 90d (×0.80 penalty)."
CAND_0043228,81,0.5740,"Applied ML Engineer at Zoho, 6.8 yrs total; covers 2/4 must-have areas via OpenSearch, Vector Search, Learning to Rank; in Chennai, Tamil Nadu, not relocating. Concerns: behavioral=0.64 [resp=0.41 dem=0.67 avail=0.56 close=0.75 trust=0.94]."
CAND_0057563,82,0.5739,"NLP Engineer at Locobuzz, 6.8 yrs total; covers 2/4 must-have areas via RAG, Elasticsearch, OpenSearch; some eval-framework language in profile; high verified assessment scores; open to relocating within India. Concerns: behavioral=0.66 [resp=0.76 dem=0.55 avail=0.47 close=0.66 trust=0.92]."
CAND_0013536,83,0.5732,"Applied ML Engineer at Haptik, 14.1 yrs total (4.7 yrs ML-relevant); covers 2/4 must-have areas via Vector Search, Milvus, FAISS; some eval-framework language in profile; in Trivandrum, Kerala, not relocating. Concerns: behavioral=0.75 [resp=0.80 dem=0.84 avail=0.77 close=0.69 trust=0.60], notice 90d (×0.80 penalty)."
CAND_0083307,84,0.5688,"Search Engineer at CRED, 7.8 yrs total; covers 4/4 must-have areas via Weaviate, Vector Search, Semantic Search; some eval-framework language in profile; frequent short stints (~2.0y avg); in Vizag, Andhra Pradesh, not relocating. Concerns: behavioral=0.67 [resp=0.70 dem=0.43 avail=0.82 close=0.69 trust=0.74], notice 120d (×0.72 penalty)."
CAND_0039754,85,0.5618,"Senior Applied Scientist at Meta, 16.2 yrs total (8.2 yrs ML-relevant); covers 1/4 must-have areas via Weaviate, OpenSearch, Elasticsearch; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; open to relocating within India. Concerns: behavioral=0.83 [resp=0.81 dem=0.89 avail=0.86 close=0.79 trust=0.82]."
CAND_0004402,86,0.5601,"AI Research Engineer at Yellow.ai, 6.0 yrs total; covers 2/4 must-have areas via Learning to Rank, Qdrant, OpenSearch; based in Delhi, Delhi. Concerns: behavioral=0.78 [resp=0.95 dem=0.45 avail=1.00 close=0.56 trust=0.96]."
